ID,Name,Parent ID,Level,Description,Tags,Last Updated,Top URLs
1,Climate Drift,,1,,,2025-04-17,https://www.climatedrift.com/p/climate-drift-30-one-year-in; https://www.climatedrift.com/p/the-2023-climate-drift-year-in-review; https://www.climatedrift.com/p/introducing-the-climate-drift-community
1.1,Climate Solutions,1,2,,,2025-04-17,https://www.climatedrift.com/p/climate-drift-30-one-year-in; https://www.climatedrift.com/p/the-2023-climate-drift-year-in-review; https://www.climatedrift.com/p/introducing-the-climate-drift-community
1.1.1,Power,1.1,3,,,2025-04-17,https://www.climatedrift.com/p/microsofts-10-billion-power-bill; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization
1.1.1.1,Renewables,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/friday-five-philanthropy-stepping
1.1.1.1.1,Software,1.1.1.1,5,,,2025-04-17,https://www.climatedrift.com/p/the-overview-of-climate-solutions-6ba; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/how-has-the-climate-tech-capital
1.1.1.1.1.1,Asset Management,1.1.1.1.1,6,,,2025-04-17,https://www.climatedrift.com/p/why-lenders-arent-looking-at-your; https://www.climatedrift.com/p/the-space-laser-dilemma-asset-based; https://www.climatedrift.com/p/closing-the-loop
1.1.1.1.1.2,Predictive Analytics,1.1.1.1.1,6,,,2025-04-17,https://www.climatedrift.com/p/refurbishment-and-ikea; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/the-complete-guide-to-alternative
1.1.1.1.1.3,Planning and Design,1.1.1.1.1,6,,,2025-04-17,https://www.climatedrift.com/p/navigating-a-transformation; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/in-pursuit-of-triple-bottom-lines
1.1.1.1.2,Solar,1.1.1.1,5,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.1,Production and Deployment,1.1.1.1.2,6,,,2025-04-17,https://www.climatedrift.com/p/are-there-sustainable-alternatives; https://www.climatedrift.com/p/the-complete-guide-to-alternative; https://www.climatedrift.com/p/hydrogen-explained-part-1
1.1.1.1.2.1.1,Solar Supply Chain,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/the-companies-of-residential-solar; https://www.climatedrift.com/p/a-guide-to-residential-solar
1.1.1.1.2.1.2,Lack of Solar Installers,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.1.3,Residential Solar,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.1.4,Commercial Solar,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.1.5,Utility Scale Solar,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.1.6,Solar Financing,1.1.1.1.2.1,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.2,Software for Solar,1.1.1.1.2,6,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.2.1,SCADA,1.1.1.1.2.2,7,,,2025-04-17,
1.1.1.1.2.2.2,Yield Optimization,1.1.1.1.2.2,7,,,2025-04-17,https://www.climatedrift.com/p/recycled-aluminium-miracle-or-myth; https://www.climatedrift.com/p/transitioning-into-climate-big-company; https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism
1.1.1.1.2.2.3,Asset Performance Management,1.1.1.1.2.2,7,,,2025-04-17,https://www.climatedrift.com/p/why-lenders-arent-looking-at-your; https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/the-space-laser-dilemma-asset-based
1.1.1.1.2.3,Technological Improvements,1.1.1.1.2,6,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/why-carbon-engineerings-1-billion
1.1.1.1.2.3.1,Advanced Panels,1.1.1.1.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/the-guide-to-advanced-air-mobility; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/a-guide-to-residential-solar
1.1.1.1.2.3.1.1,Perovskite,1.1.1.1.2.3.1,8,,,2025-04-17,https://www.climatedrift.com/p/key-takeaways-from-ieas-new-net-zero-406
1.1.1.1.2.3.1.2,Other new combinations,1.1.1.1.2.3.1,8,,,2025-04-17,https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/is-ugly-produce-a-solution-to-food
1.1.1.1.2.3.2,Advanced Trackers,1.1.1.1.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/the-guide-to-advanced-air-mobility; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/charging-ahead
1.1.1.1.2.3.3,New Structures Concentrated Solar,1.1.1.1.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.3.4,Floating Solar,1.1.1.1.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/the-companies-of-residential-solar-6a0; https://www.climatedrift.com/p/a-guide-to-residential-solar; https://www.climatedrift.com/p/the-companies-of-residential-solar
1.1.1.1.2.3.5,Building Integrated Photovoltaics (BIPV),1.1.1.1.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/rebuilding-for-resilience-how-la; https://www.climatedrift.com/p/a-look-at-building-companies; https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion
1.1.1.1.2.4,Maintenance,1.1.1.1.2,6,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/redefining-consumption-part-3; https://www.climatedrift.com/p/redefining-consumption-part-2
1.1.1.1.2.4.1,Inspections,1.1.1.1.2.4,7,,,2025-04-17,
1.1.1.1.2.4.2,Vegetation,1.1.1.1.2.4,7,,,2025-04-17,https://www.climatedrift.com/p/i-want-you-for-the-american-climate; https://www.climatedrift.com/p/rebuilding-for-resilience-how-la
1.1.1.1.2.4.3,Panel Cleaning,1.1.1.1.2.4,7,,,2025-04-17,https://www.climatedrift.com/p/redefining-consumption-part-2; https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion
1.1.1.1.2.4.4,Recycling,1.1.1.1.2.4,7,,,2025-04-17,https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.1.3,Wind,1.1.1.1,5,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/startups-dont-have-to-fail
1.1.1.1.3.1,Production and Deployment,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/are-there-sustainable-alternatives; https://www.climatedrift.com/p/the-complete-guide-to-alternative; https://www.climatedrift.com/p/hydrogen-explained-part-1
1.1.1.1.3.1.1,Wind Supply Chain,1.1.1.1.3.1,7,,,2025-04-17,https://www.climatedrift.com/p/packaging-an-opportunity-not-to-be; https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa
1.1.1.1.3.1.2,Lack of Wind Installers,1.1.1.1.3.1,7,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/startups-dont-have-to-fail; https://www.climatedrift.com/p/blueprint-for-steering-distributed
1.1.1.1.3.1.3,Regulation,1.1.1.1.3.1,7,,,2025-04-17,https://www.climatedrift.com/p/redefining-consumption-part-2; https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/dpp-a-land-of-opportunity-beyond
1.1.1.1.3.2,Onshore Wind,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/startups-dont-have-to-fail
1.1.1.1.3.3,Offshore Wind,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/how-can-we-train-young-farmers-to
1.1.1.1.3.3.1,Fixed Support,1.1.1.1.3.3,7,,,2025-04-17,https://www.climatedrift.com/p/can-restaurants-go-green-without; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/strategic-risks
1.1.1.1.3.3.2,Floating,1.1.1.1.3.3,7,,,2025-04-17,
1.1.1.1.3.4,Improvements,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/i-want-you-for-the-american-climate; https://www.climatedrift.com/p/charging-ahead
1.1.1.1.3.4.1,Turbine Attachements,1.1.1.1.3.4,7,,,2025-04-17,https://www.climatedrift.com/p/startups-dont-have-to-fail; https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf; https://www.climatedrift.com/p/10-climate-podcasts-to-a-enjoy-on
1.1.1.1.3.4.2,Taller Wind Towers,1.1.1.1.3.4,7,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/startups-dont-have-to-fail
1.1.1.1.3.4.3,New Turbine Design,1.1.1.1.3.4,7,,,2025-04-17,https://www.climatedrift.com/p/navigating-a-transformation; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/recycled-aluminium-miracle-or-myth
1.1.1.1.3.4.3.1,Vertical-axis wind turbine (VAWT),1.1.1.1.3.4.3,8,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/startups-dont-have-to-fail
1.1.1.1.3.4.4,Blade Recycling,1.1.1.1.3.4,7,,,2025-04-17,https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
